dealer_id,employee_id,employee_name,employee_role,hire_date,employee_email,employee_phone,vin,vehicle_brand,vehicle_model,vehicle_year,vehicle_price_usd,sale_date,customer_state,sales_status
D001,e1001,John Miller,Sale Associate,2022-03-14,john.miller@sunsetautos.com,555-213-7788,1HGCM82633A123456,onda,Civic,2021,21995.00,2025-01-15,CA,Sold
D001,e1001,Johnmiller,Sale Associate,2022-03-14,johnmiller.@sunsetauto.com,555-213-7788,1HGCM82633A123456,onda,Civic,2021,21995.00,2025-01-15,CA,Sold
D001,E1002,SarahJohnson,Sales associate,03/22/2021,sarah.johnson@sunseatutos,555-310-8899,1FTFW1E50MFA54321,Ford,F-150,2022,38999,2025/02/10,California,sold
D002,E1003,Michaelbrown,Sales Asociate,2021-07-01,michael.brown@sunsetautos.com,5554441212,2T1BURHE5JC765432,Toyota,Corola,2019,17950.50,02-28-2025,TX,Pending
D002,E100,Emily Davis,General Manger,2020-11-31,emily.davis@sunsetautos.com,555-999-1122,3CZRU6H59KM987654,Honda,CR-V,2018,24500.00,2025-03-05,FL,Delivered
D003,E1005,David Wilson,Sales Associate,2019-05-18,david.wilson @sunsetautos.com,(555) 878-2211,1N4AL3AP8JC246810,Nissan,Altima,2020,19800,2025-03-18,NY,Sold
D003,E1006,Jessica Moore,Sales Consultant,2018-09-09,jessica.moore@sunsetautos.com,555-120-33,5YJ3E1EA7JF000111,Tesla,Model 3,2018,31000.00,2025-04-01,WA,Returned
D004,E1007,Chris Taylor,Sales associate,2023/01/10,chris.taylor@sunsetautos.com,555-870-1234,1C4RJFAG0FC654321,Jep,Grand Cherokee,2017,27500,2025-04-12,AZ,sold
D004,E1008,Amanda Anderson,sale Consultant,2022-06-25,amanda.anderson@sunsetautos.com,555-300-4567,1G1BE5SM5J7123456,Chevrolet,Malibu,2018,16500.99,2025-04-31,NV,Cancelled
D005,E1009,Robert Thomas,Sales Associate,2021-02-28,robert.thomas@sunsetautos.com,555-411-8890,1FA6P8TH5J5109876,For,Mustang,2018,28999.95,2025-05-07,OR,Pending
D005,E1010,Linda Jackson,sale asociate,2017-12-15,linda.jackson@sunsetautos.com,555-200-7788,19XFC2F69JE123789,Honda,Civic,2018,0,2025-05-20,CA,Sold
D006,E1011,Daniel White,Sales Associate,2020-04-03,daniel.white@sunsetautos.com,555-600-1234,1HGCM82633A12345,Honda,Accord,2021,26400.00,2025-06-01,TX,Sold
